TranscriptID;ICR_expectedCount;ICR_TPM;ICR2_expectedCount;ICR2_TPM;ICR3_expectedCount;ICR3_TPM;ICR4_expectedCount;ICR4_TPM
MCU_012213-RA;0.00;0.00;0.00;0.00;7.00;0.32;0.00;0.00
MCU_012214-RA;0.00;0.00;0.00;0.00;1.00;0.31;0.00;0.00
MCU_012215-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012216-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012217-RA;166.00;2.97;165.00;2.45;215.00;3.85;50.00;1.10
MCU_012218-RA;18.57;1.38;6.00;0.37;27.00;2.00;1.10;0.10
MCU_012219-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012220-RA;2.50;0.89;1.00;0.29;0.50;0.18;0.00;0.00
MCU_012221-RA;87.00;16.95;99.00;15.79;72.00;13.99;83.00;19.37
MCU_012222-RA;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.23
MCU_012223-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012224-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012225-RA;5.12;0.64;7.96;0.82;6.93;0.87;5.97;0.91
MCU_012226-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012228-RA;832.00;23.06;696.00;15.98;1596.00;44.22;294.00;9.97
MCU_012229-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012230-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012231-RA;173.00;7.42;179.00;6.36;349.00;14.96;93.00;4.87
MCU_012232-RA;10.03;1.22;27.42;2.74;3.26;0.40;16.72;2.46
MCU_012232-RB;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012232-RC;1548.84;221.23;1518.08;178.15;1280.26;182.56;1344.21;231.44
MCU_012234-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012235-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012236-RA;52.96;4.09;216.16;13.78;44.80;3.46;137.94;12.95
MCU_012236-RB;346.04;12.32;403.84;11.91;676.20;24.06;204.06;8.88
MCU_012237-RA;16.00;5.17;13.00;3.41;6.00;1.93;8.00;3.05
MCU_012238-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012239-RA;57.00;4.19;116.00;7.03;65.00;4.77;36.00;3.21
MCU_012239-RB;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012240-RA;1.00;0.22;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012241-RA;0.00;0.00;2.00;0.33;2.00;0.40;3.00;0.72
MCU_012242-RA;29.59;0.42;9.52;0.11;0.00;0.00;0.00;0.00
MCU_012242-RB;0.00;0.00;9.32;0.11;184.12;2.56;0.00;0.00
MCU_012242-RC;29.41;0.49;90.16;1.24;28.88;0.48;35.00;0.71
MCU_012243-RA;111.17;6.21;71.08;3.28;96.78;5.40;36.56;2.49
MCU_012243-RB;918.83;55.56;1397.92;69.86;1142.22;69.00;728.44;53.65
MCU_012244-RA;68.00;8.15;72.00;7.10;120.00;14.36;44.00;6.37
MCU_012245-RA;242.00;8.68;339.00;10.07;344.00;12.34;206.00;9.03
MCU_012246-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012247-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012248-RA;1.45;0.86;0.00;0.00;1.38;0.81;1.16;0.80
MCU_012249-RA;145.34;24.42;189.98;26.17;140.87;23.62;136.68;27.59
MCU_012249-RB;862.66;133.19;843.02;106.85;733.13;112.99;689.32;128.11
MCU_012250-RA;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.05
MCU_012251-RA;562.75;34.22;818.98;41.16;570.12;34.64;421.51;31.22
MCU_012252-RA;0.00;0.00;2.00;1.86;0.00;0.00;0.00;0.00
MCU_012253-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012254-RA;2.00;0.25;1.00;0.10;0.00;0.00;1.00;0.15
MCU_012255-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012256-RA;21.00;5.17;10.00;2.01;11.00;2.70;3.00;0.88
MCU_012257-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012258-RA;529.25;49.84;634.53;49.26;551.02;51.82;423.50;48.37
MCU_012259-RA;38.65;10.74;45.19;10.23;23.90;6.62;45.91;15.14
MCU_012262-RA;17.37;0.85;20.71;0.83;36.00;1.75;5.00;0.30
MCU_012264-RA;26.48;2.31;9.36;0.67;27.85;2.42;44.09;4.66
MCU_012264-RB;1310.05;53.97;1714.97;58.47;2575.23;106.01;1053.46;52.99
MCU_012264-RC;248.46;10.46;233.67;8.14;256.92;10.81;99.45;5.11
MCU_012266-RA;977.00;81.20;1064.00;72.97;851.00;70.65;693.00;69.95
MCU_012267-RA;16.06;1.81;62.68;5.83;29.56;3.33;5.28;0.72
MCU_012267-RB;161.94;5.97;314.32;9.60;344.44;12.70;184.72;8.32
MCU_012268-RA;85.00;6.32;99.00;6.08;183.00;13.60;49.00;4.43
MCU_012269-RA;3183.00;203.55;6032.00;318.73;3927.00;250.89;2486.00;193.55
MCU_012270-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012271-RA;89.00;18.91;153.00;26.59;136.00;28.84;68.00;17.28
MCU_012272-RA;0.00;0.00;0.00;0.00;13.06;0.71;0.00;0.00
MCU_012272-RB;662.00;36.93;646.00;29.80;624.94;34.84;408.00;27.74
MCU_012273-RA;625.74;59.53;741.16;58.13;569.21;54.08;555.56;64.09
