TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0000192401-mRNA-1 0.00 0.00 4.47 1.26 1.07 0.45 2.35 0.74
MCOS_0000193301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000195401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000196201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000197801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000198701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000198901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000201401-mRNA-1 2.00 0.67 26.35 9.96 0.00 0.00 13.25 5.60
MCOS_0000201801-mRNA-1 1.00 0.21 1.00 0.23 0.00 0.00 8.00 2.05
MCOS_0000202601-mRNA-1 75.26 7.75 143.25 16.07 74.42 12.46 119.52 14.86
MCOS_0000203001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000203901-mRNA-1 18.94 6.37 10.59 4.00 6.56 3.66 12.30 5.20
MCOS_0000204301-mRNA-1 443.42 28.30 509.12 35.15 312.42 32.26 517.98 39.56
MCOS_0000205401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000205901-mRNA-1 355.00 78.65 414.99 102.01 235.96 86.11 324.11 88.77
MCOS_0000206901-mRNA-1 8.13 1.25 0.00 0.00 0.00 0.00 3.04 0.57
MCOS_0000207001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000207801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000209001-mRNA-1 5.75 0.48 17.42 1.58 6.29 0.85 0.00 0.00
MCOS_0000209501-mRNA-1 69.91 4.61 92.68 6.62 58.68 6.26 91.83 7.25
MCOS_0000209901-mRNA-1 4.00 1.94 15.00 8.29 9.00 7.31 8.00 4.95
MCOS_0000210101-mRNA-1 1283.00 157.58 1778.98 238.77 1281.00 256.39 1768.00 263.31
MCOS_0000210301-mRNA-1 550.00 507.09 408.00 437.96 321.00 500.44 357.00 429.48
MCOS_0000210901-mRNA-1 74.99 22.59 31.93 10.78 45.74 22.85 12.86 4.85
MCOS_0000211401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000211501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000211701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000211801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000211901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000212001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000213301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000213401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000214001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.42
MCOS_0000214701-mRNA-1 1337.26 229.75 955.30 180.78 641.22 180.54 854.39 179.80
MCOS_0000216401-mRNA-1 640.87 117.21 325.28 65.63 307.60 92.30 349.69 78.50
MCOS_0000216901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000219401-mRNA-1 1.00 0.77 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000219601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000219901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000220301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000221701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000221901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000222601-mRNA-1 293.00 63.51 267.00 64.16 144.00 51.38 254.00 68.00
MCOS_0000223901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000225901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000226501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000227801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000229901-mRNA-1 343.00 20.13 520.00 33.00 193.00 18.32 430.00 30.18
MCOS_0000231101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000231401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000232501-mRNA-1 1.00 0.26 5.00 1.42 2.00 0.84 13.00 4.13
MCOS_0000234501-mRNA-1 2.00 0.42 6.00 1.40 4.00 1.38 7.00 1.81
MCOS_0000238401-mRNA-1 26.89 2.17 123.75 10.84 24.67 3.23 79.89 7.75
MCOS_0000239501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000239601-mRNA-1 28.00 0.93 134.00 4.81 31.00 1.67 94.00 3.73
MCOS_0000240201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000240501-mRNA-1 25.01 5.48 70.77 17.20 28.28 10.21 65.35 17.70
MCOS_0000241201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.52
MCOS_0000241301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 1.03 0.04
MCOS_0000244401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000244501-mRNA-1 3.00 0.25 5.60 0.51 1.00 0.14 12.92 1.30
MCOS_0000245901-mRNA-1 212.56 29.80 574.87 88.34 252.07 57.72 395.72 67.53
MCOS_0000247401-mRNA-1 231.67 162.59 91.32 73.97 90.65 107.18 69.86 63.40
MCOS_0000247701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000248001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000248501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000249301-mRNA-1 282.00 35.74 372.00 51.56 230.00 47.53 319.00 49.07
MCOS_0000249601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000249801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000251101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000252301-mRNA-1 9885.00 511.92 17127.71 957.89 6110.73 511.30 21947.39 1356.94
MCOS_0000253101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000253201-mRNA-1 20.00 1.04 58.00 3.27 13.00 1.10 43.00 2.68
