TranscriptID;IV_expectedCount;IV_TPM;IV2_expectedCount;IV2_TPM;IV3_expectedCount;IV3_TPM;IV4_expectedCount;IV4_TPM
MCOS_0000198701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000198901-mRNA-1;0.00;0.00;0.16;0.07;0.00;0.00;0.00;0.00
MCOS_0000201401-mRNA-1;22.38;11.15;21.00;9.44;10.30;5.54;9.25;3.90
MCOS_0000201801-mRNA-1;2.00;0.61;0.00;0.00;2.00;0.66;0.00;0.00
MCOS_0000202601-mRNA-1;101.42;14.97;117.42;16.06;87.69;14.39;83.08;10.61
MCOS_0000203001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000203901-mRNA-1;12.86;6.41;10.61;4.77;6.55;3.52;5.90;2.49
MCOS_0000204301-mRNA-1;393.31;35.70;428.16;36.19;238.45;24.19;308.29;24.32
MCOS_0000205401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000205901-mRNA-1;353.06;114.32;424.28;125.50;326.01;115.50;498.71;138.04
MCOS_0000206901-mRNA-1;0.00;0.00;0.00;0.00;1.21;0.30;0.00;0.00
MCOS_0000207001-mRNA-1;0.00;0.00;1.00;0.56;0.00;0.00;0.00;0.00
MCOS_0000207801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000209001-mRNA-1;7.80;0.93;10.87;1.20;2.00;0.27;7.43;0.77
MCOS_0000209501-mRNA-1;55.69;5.23;39.13;3.42;34.47;3.61;40.08;3.27
MCOS_0000209901-mRNA-1;3.00;2.19;15.00;9.72;14.00;10.85;13.00;7.93
MCOS_0000210101-mRNA-1;1576.00;278.29;2012.00;328.50;1459.41;285.73;1793.00;273.43
MCOS_0000210301-mRNA-1;230.00;325.42;323.00;395.15;287.00;419.39;355.00;411.63
MCOS_0000210901-mRNA-1;24.65;10.97;24.98;10.07;12.08;5.82;9.05;3.42
MCOS_0000211401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000211501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000211701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000211801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000211901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000212001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000213301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000213401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000214001-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;3.00;1.27
MCOS_0000214701-mRNA-1;472.50;117.71;530.73;121.52;459.57;126.10;615.58;131.76
MCOS_0000216401-mRNA-1;225.61;59.94;179.09;43.67;207.20;60.54;346.41;78.98
MCOS_0000216901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000219401-mRNA-1;3.00;3.54;1.00;1.03;0.00;0.00;0.00;0.00
MCOS_0000219601-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000219901-mRNA-1;0.59;0.15;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000220301-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000221701-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000221901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000222601-mRNA-1;183.00;57.92;229.00;66.26;146.00;50.60;200.00;54.14
MCOS_0000223901-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000225901-mRNA-1;2.00;0.26;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000226501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000227801-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000229901-mRNA-1;417.00;34.78;367.00;28.53;281.00;26.22;307.00;22.27
MCOS_0000231101-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000231401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000232501-mRNA-1;16.00;6.00;8.00;2.73;9.00;3.68;9.00;2.88
MCOS_0000234501-mRNA-1;8.00;2.45;4.00;1.12;4.00;1.34;9.00;2.36
MCOS_0000238401-mRNA-1;95.31;10.98;125.85;13.47;63.49;8.16;65.94;6.59
MCOS_0000239501-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000239601-mRNA-1;83.00;3.92;65.00;2.87;45.00;2.38;24.00;0.99
MCOS_0000240201-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000240501-mRNA-1;51.67;16.54;77.19;22.58;35.23;12.34;33.38;9.14
MCOS_0000241201-mRNA-1;0.00;0.00;2.00;0.23;0.00;0.00;0.00;0.00
MCOS_0000241301-mRNA-1;0.00;0.00;0.00;0.00;1.06;0.06;0.00;0.00
MCOS_0000244401-mRNA-1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCOS_0000244501-mRNA-1;3.50;0.42;4.59;0.51;2.00;0.27;1.00;0.10
MCOS_0000245901-mRNA-1;262.22;53.03;299.28;55.84;229.45;51.32;197.72;34.47
MCOS_0000247401-mRNA-1;82.48;88.10;103.42;96.70;118.15;132.01;129.00;113.95
MCOS_0000247701-mRNA-1;1.00;1.22;1.64;1.75;0.00;0.00;1.00;1.01
MCOS_0000248001-mRNA-1;0.00;0.00;0.00;0.00;1.07;0.66;0.00;0.00
MCOS_0000248501-mRNA-1;0.00;0.00;0.42;0.55;0.00;0.00;0.00;0.00
